"Fecha;Hora;Texto_aviso_WinCC;Lugar_de_averia;Nombre_de_usuario"
"22/11/18;11:34:10 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;11:29:01 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;11:27:50 AM;Pozo 9:    Fallo Comunicación;Pozo 9;"
"22/11/18;11:26:26 AM;Pozo 8:    Fallo Comunicación;Pozo 8;"
"22/11/18;11:24:54 AM;Tunel San Feliu:    Fallo Comunicación;San Feliu;"
"22/11/18;11:24:43 AM;Tunel San Feliu:    Fallo Comunicación;San Feliu;"
"22/11/18;11:24:30 AM;Pozo 7:    Fallo Comunicación;Pozo 7;"
"22/11/18;11:23:59 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;11:20:56 AM;Pozo 8:    Fallo Comunicación;Pozo 8;"
"22/11/18;11:18:58 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;11:18:57 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;11:17:59 AM;Pozo 8:    Fallo Comunicación;Pozo 8;"
"22/11/18;11:17:22 AM;Tunel Baró de Viver:    Fallo Comunicación;Baro Viver;"
"22/11/18;11:17:06 AM;Tunel Baró de Viver:    Fallo Comunicación;Baro Viver;"
"22/11/18;11:16:28 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;11:16:00 AM;Pozo 7:    Fallo Comunicación;Pozo 7;"
"22/11/18;11:12:42 AM;Tunel Pla de Palau:    Fallo Comunicación;Pla Palau;"
"22/11/18;11:08:54 AM;Tunel Pla de Palau:    Fallo Comunicación;Pla Palau;"
"22/11/18;11:08:42 AM;Pozo 8:    Fallo Comunicación;Pozo 8;"
"22/11/18;11:06:31 AM;Tunel Maquinista:    Fallo Comunicación;Maquinista;"
"22/11/18;11:03:44 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;11:03:30 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;10:58:28 AM;Pozo 5:    Fallo Comunicación;Pozo 5;"
"22/11/18;10:55:00 AM;Pozo 5:    Fallo Comunicación;Pozo 5;"
"22/11/18;10:52:30 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;10:52:18 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;10:52:16 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;10:52:09 AM;USERT:ESCADARONDAS:Inicio de sesión manual;;Rafa"
"22/11/18;10:51:20 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;10:51:17 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;10:50:17 AM;AM:ESCADARONDAS:Backup de medios 'Backup successful: ESCADARONDAS_UTE#RONDAS#SCADA#WINCC74_ALG_201811220935 !' finalizado con óxito;;"
"22/11/18;10:49:36 AM;Tunel Pla de Palau:    Fallo Comunicación;Pla Palau;"
"22/11/18;10:48:58 AM;Pozo 8:    Fallo Comunicación;Pozo 8;"
"22/11/18;10:46:28 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;10:45:17 AM;AM:ESCADARONDAS:Backup de medios 'Backup successful: ESCADARONDAS_UTE#RONDAS#SCADA#WINCC74_ALG_201811220930 !' finalizado con óxito;;"
"22/11/18;10:43:40 AM;AM:ESCADARONDAS:Backup de medios 'Backup successful: ESCADARONDAS_UTE#RONDAS#SCADA#WINCC74_ALG_201811220928 !' finalizado con óxito;;"
"22/11/18;10:43:24 AM;AM:ESCADARONDAS:Backup de medios 'Backup successful: ESCADARONDAS_UTE#RONDAS#SCADA#WINCC74_ALG_201811220833 !' finalizado con óxito;;"
"22/11/18;10:43:02 AM;Tunel Media Poble Nou:     Fallo Comunicación;MPoble Nou;"
"22/11/18;10:41:04 AM;Pozo 8:    Fallo Comunicación;Pozo 8;"
